Ac,All,As,At,Ba,Be,C,Cf,Cif,Cnf,Co,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,D,Dr,Ds,Event Code,Match Level,Match Number,Robot,Scouter,Ss,Team Number,Wd,Al,Au,Cn,Tl,Tu
N,N,[44],Y,N,N,2,N,g,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,21,b3,ps,,3566,N,0,0,2,0,0
N,N,[19],N,N,N,x,N,g,a,was having a lot of problems driving,,,,,,,,,,,,,,,Y,x,a,2022NHGRS,qm,17,b1,DC,,4761,N,0,0,0,0,0
N,N,[55],N,N,N,f,N,g,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,12,b2,ps,[57],4761,Y,0,0,0,0,1
N,N,[55],N,N,N,f,N,g,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,12,b2,ps,[57],4761,Y,0,0,0,0,1
N,N,[29],N,N,N,x,N,x,a,having drivetrain issues,,,,,,,,,,,,,,,N,a,n,2022NHGRS,qm,22,r2,MM,[16],4761,N,0,0,2,0,0
N,N,[29],Y,N,Y,f,N,x,n,,,,,,,,,,,,,,,,N,x,n,2022WK0,qm,6,r3,ES,,4761,N,0,0,0,0,0
N,N,[29],N,N,N,x,N,x,n,,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,28,r3,ES,,4761,N,0,0,2,0,0
N,Y,[19],Y,N,N,2,N,g,v,very good at shooting,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,16,b1,DC,,4909,N,0,1,2,0,7
N,N,[54],Y,Y,N,f,N,g,a,,,,,,,,,,,,,,,,N,v,a,2022NHGRS,qm,12,b2,am,,4909,Y,0,1,0,0,1
Y,Y,[41],N,Y,Y,2,N,t,v,,,,,,,,,,,,,,,,N,v,a,2022NHGRS,qm,21,r1,RS,"[41,31]",4909,Y,0,1,2,0,1
N,Y,[54],Y,N,N,f,N,g,v,amazing accuracy good swerve,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,27,r2,MM,"[42,30,43]",4909,N,0,0,3,0,6
N,N,[32],N,N,N,x,N,,n,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,25,b1,cf,,4925,N,0,0,2,0,0
N,N,[29],Y,N,N,x,N,g,a,difficulty shooting,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,20,r2,MM,"[40,28]",4925,N,0,0,5,0,0
N,N,[41],Y,N,N,x,N,,a,,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,30,r3,jm,"[54,29]",4925,N,0,0,2,3,0
N,,,Y,,,f,,x,,,,,,,,,,,,,,,,,,,,2022WK0,qm,9,b2,am,,4987,Y,0,0,,0,0
N,,[55],Y,,,f,,x,,,,,,,,,,,,,,,,,,,,2022WK0,qm,9,b2,am,,4987,Y,0,0,,0,0
N,N,[55],Y,N,N,x,N,x,a,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,24,b3,ps,,4987,Y,0,0,2,0,0
N,N,[32],N,N,N,x,N,x,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,14,b3,AM,,5491,N,0,0,0,0,0
N,N,[41],N,N,N,f,N,x,a,cannot shoot,,,,,,,,,,,,,,,N,a,n,2022NHGRS,qm,5,r2,MM,,5491,N,0,0,3,0,0
N,N,[],N,Y,N,f,N,x,n,doesn't have a shooter and wasn't able to climb.,,,,,,,,,,,,,,,N,v,a,2022WK0,qm,10,r3,DC,,5491,N,0,0,0,0,0
N,N,[29],N,N,N,x,N,,n,,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,25,r3,ES,,5491,N,0,0,1,0,0
N,N,[44],Y,N,Y,2,N,b,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,20,b2,jm,"[44,57,10]",5902,N,0,0,3,2,0
N,N,[29],Y,N,N,x,N,g,a,lost connection,,,,,,,,,,,,,,,Y,a,n,2022NHGRS,qm,26,r2,MM,"[28,44]",5902,N,0,0,1,1,0
N,N,[29],Y,N,N,4,N,,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,8,r1,AM,"[42,42,55,42,29,30]",6328,N,0,2,2,0,6
Y,Y,[54],Y,N,Y,4,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,11,r2,jm,"[53,19,44,28]",6328,N,0,2,1,0,6
Y,Y,[42],Y,N,Y,4,N,g,v,very efficient shooting,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,16,r2,MM,"[19,45,44,55]",6328,N,0,5,4,0,6
N,N,[54],N,N,N,,N,,,Did not run.,,,,,,,,,,,,,,,N,,,2022WK0,qm,21,r3,ES,,6328,N,0,0,0,0,0
N,Y,[54],Y,N,Y,3,N,g,v,great shooter and drive skill fast robot,,,,,,,,,,,,,,,N,v,v,2022WK0,qm,29,r3,jm,"[53,65,66,65,44,44]",6328,N,0,2,2,0,3
N,N,[32],Y,N,N,2,N,g,a,didn't shoot any balls but could climb,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,20,b1,DC,,6690,N,1,0,3,0,0
Y,N,[32],Y,N,N,f,N,,n,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,27,b1,cf,,6690,N,0,0,3,0,0
N,N,[19],N,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,13,b2,am,"[30,31,19]",6690,N,0,0,1,0,1
N,N,[41],Y,N,N,1,N,g,n,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,9,r1,AM,[30],6690,N,0,0,3,0,0
N,N,[54],Y,N,N,2,N,g,n,,,,,,,,,,,,,,,,N,x,n,2022WK0,qm,5,r3,ES,[54],6690,N,1,0,2,0,0
N,N,[54],Y,N,N,2,N,g,n,,,,,,,,,,,,,,,,N,x,n,2022WK0,qm,5,r3,ES,[54],6690,N,1,0,2,0,0
N,N,[20],Y,N,N,x,N,x,n,broke down mid match and doesn't have a shooter,,,,,,,,,,,,,,,Y,a,a,2022NHGRS,qm,-,b1,DC,,6762,N,0,0,0,0,0
N,,[55],N,,,x,,x,,,,,,,,,,,,,,,,,,,,2022WK0,qm,4,b2,am,,6762,Y,0,0,,0,0
N,N,[45],N,N,N,x,N,,n,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,22,b2,am,,6762,N,0,0,2,0,0
N,N,[19],N,Y,N,,N,x,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,8,b3,cf,,6762,N,0,0,2,0,0
N,N,[54],Y,Y,N,f,N,g,a,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,25,b3,ps,"[54,43,42]",6763,Y,1,0,2,3,0
N,N,[30],N,N,N,f,N,g,a, couldn't shoot balls,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,6,r2,MM,"[42,41,30,30,42]",6763,N,0,0,1,0,0
N,N,[29],Y,N,N,f,N,g,n,can't really do anything,,,,,,,,,,,,,,,N,a,a,2022WK0,qm,11,r3,DC,,6763,Y,0,0,1,0,0
N,N,[42],Y,N,N,2,N,,n,"Had Cargo, but never shot it.",,,,,,,,,,,,,,,N,a,a,2022WK0,qm,17,r3,ES,,6763,N,0,0,0,0,0
N,N,[41],Y,Y,N,x,N,x,a,,,,,,,,,,,,,,,,N,v,a,2022NHGRS,qm,26,b2,am,,6895,Y,0,0,1,0,0
N,N,[54],N,N,N,,N,x,n,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,19,r1,RS,,6895,N,0,0,0,0,0
N,Y,[29],Y,N,N,x,N,x,n,Didn't play any offense. Only defended,,,,,,,,,,,,,,,N,v,a,2022WK0,qm,7,r3,DC,,6895,N,0,0,0,0,0
Y,Y,[53],Y,N,N,4,N,g,v,best team I've seen,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,24,b2,am,"[54,41,19,20]",7407,N,0,3,2,0,9
N,N,[18],Y,N,N,4,N,b,v,traversal and 100% shooting percentage,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,19,b3,AM,"[21,57,45,21,21,21,7,7,32,28]",7407,N,0,3,2,0,10
Y,Y,[54],Y,N,N,4,N,g,v,Very good at shooting and can climb to traversal,,,,,,,,,,,,,,,N,x,v,2022WK0,qm,9,r3,DC,[29],7407,Y,0,3,3,0,4
N,N,[],N,N,N,4,N,g,a,"Had a weird spinning moment, but got back on track",,,,,,,,,,,,,,,N,x,a,2022WK0,qm,4,r3,ES,"[54,54,40,52,56,40]",7407,N,0,0,1,1,1
Y,N,[54],Y,N,N,x,N,,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,10,b1,ps,,7913,N,1,0,1,0,0
N,N,[29],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,17,b2,jm,"[32,44,44]",7913,N,0,0,0,1,0
N,N,[54],Y,N,Y,x,N,g,a,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,30,b3,ps,[55],7913,N,0,0,0,0,0
N,N,[17],Y,N,N,f,N,g,a,good at overcoming defense,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,21,r2,MM,"[6,29,29]",7913,Y,0,0,2,4,0
Y,Y,[19],Y,N,N,2,N,g,v,Note consistent shooting spot,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,29,b1,BM,"[66,54,54,54,54,53,53,57]",8013,N,0,2,0,2,7
